Παροχή_Κωδικοποιημένη,Ημ.Έκδοσης,"Περίοδος Κατανάλωσης",ΣΕΛΙΔΑ,Τιμολόγιο,ΤΥΠΟΣ,Ημέρα,Προηγ.,ΣΩΧΒ,Συν.ΩΧΒ,ΧρΖητ,ΣυμφΙσχ,ΕγκΙσχ,Συνφ,ΖητΑιχ,ΖητΗμ,ΖητΝυκ,ΣυντΧρησ,"ΧΡΕΩΣΕΙΣ ΠΡΟΜΗΘΕΙΑΣ ΔΕΗ","ΦΠΑ  6% x","ΡΥΘΜΙΖΟΜΕΝΕΣ ΧΡΕΩΣΕΙΣ","ΦΠΑ   % x          0,00","ΜΕΙΟΝ ΕΝΑΝΤΙ ΚΑΤΑΝΑΛΩΣΗΣ",Ε.Ρ.Τ.,"ΤΡΕΧΩΝ ΜΗΝΑΣ",ΕΚΠΤ.ΣΥΝΕΠΕΙΑΣ/ΠΡΟΠΛΗΡΩΜΗΣ,ΔΗΜ.ΤΕΛΗ/ΔΗΜ.ΦΟΡΟΣ,ΔΙΑΦ.ΧΡΕΩΣΕΙΣ/ΠΙΣΤΩΣΕΙΣ,Τ.Α.Π.,Τελευτ.,"Αεργος Ημέρα",Τελευτ._Αεργος,Προηγ._Αεργος,ΣΩΧΒ_Αεργος,Συν.ΩΧΒ_Αεργος,Νύχτα,Προηγ._Νύχτα,ΣΩΧΒ_Νύχτα,Συν.ΩΧΒ_Νύχτα,year,month,Τελευτ._Νύχτα,Ημέρα_2,Προηγ._2,ΣΩΧΒ_2,Συν.ΩΧΒ_2,Τελευτ._2
373,01/09/2022,22.02.2022-29.08.2022,27,ΦΟΠ,ΕΚΚΑΘΑΡΙΣΤΙΚΟΣ,Ημέρα,25732,1,2335,"0,000",25,25,"1,0000","0,00","0,00","0,00","0,000","406,87","-2,42","153,86","0,00","0,00","0,00","-40,00","-2,81","0,00","-595,50","0,00",28067,,,,,,,,,,2022,9,,,,,,
233,02/08/2021,01.06.2021-30.07.2021,10,Γ21,ΕΝΑΝΤΙ,Ημέρα,95086,1,0,"0,000",25,1,"1,0000","0,00","0,00","0,00","0,000","159,35","13,85","84,43","0,00","0,00","0,00","245,00","-12,86","0,00","0,23","0,00",,,,,,,,,,,2021,8,,,,,,
315,02/02/2022,03.01.2022-30.01.2022,13,Γ22,ΕΚΚΑΘΑΡΙΣΤΙΚΟΣ,Ημέρα,30102,1,1201,"17,7",35,35,"1,0000","0,00",10,"0,00","18,8","386,59","28,24","80,15","0,00","0,00","0,00","501,00","-2,15","0,00","8,17","0,00",31303,,,,,,,,,,2022,2,,,,,,
57,23/06/2022,20.04.2022-21.06.2022,4,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,49621,1,0,"0,000",8,1,"1,0000","0,00","0,00","0,00","0,000","195,50","16,55","80,24","0,00","0,00","0,00","292,00","0,00","0,00","-0,29","0,00",,,,,,,,,,,2022,6,,,,,,
263,24/10/2022,23.08.2022-20.10.2022,10,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,16687,1,0,"0,000",8,1,"1,0000","0,00","0,00","0,00","0,000","264,43","20,86","83,17","0,00","0,00","0,00","368,00","0,00","0,00","-0,46","0,00",,,,,,,,,,,2022,10,,,,,,
152,24/02/2022,23.08.2021-21.02.2022,10,ΦΟΠ,ΕΚΚΑΘΑΡΙΣΤΙΚΟΣ,Ημέρα,93449,1,5273,"0,000",8,1,"1,0000","0,00","0,00","0,00","0,000","1046,35","44,52","297,82","0,00","-621,63","0,00","793,00","-6,85","0,00","32,79","0,00",98722,,,,,,,,,,2022,2,,,,,,
288,04/11/2021,27.08.2021-01.11.2021,2,Γ22,ΕΚΚΑΘΑΡΙΣΤΙΚΟΣ,Ημέρα,275544,1,4803,"24,6",35,35,"1,0000","0,00",11,"0,00","27,2","855,27","50,60","306,60","0,00","-342,49","0,00","901,00","0,00","0,00","29,78","1,24",280347,,,,,,,,,,2021,11,,,,,,
221,24/08/2022,22.06.2022-22.08.2022,8,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,86778,1,0,"0,000",8,1,"1,0000","0,00","0,00","0,00","0,000","119,09","9,24","34,99","0,00","0,00","0,00","164,00","0,00","0,00","0,68","0,00",,,,,,,,,,,2022,8,,,,,,
407,24/12/2021,21.10.2021-22.12.2021,26,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,75148,1,0,"0,000",25,25,"1,0000","0,00","0,00","0,00","0,000","256,09","24,34","149,63","0,00","0,00","0,00","430,00","0,00","0,00","-0,06","0,00",,,,,,,,,,,2021,12,,,,,,
437,23/06/2021,21.04.2021-21.06.2021,19,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,54142,1,0,"0,000",25,25,"1,0000","0,00","0,00","0,00","0,000","71,82","7,15","47,28","0,00","0,00","6,12","132,00","0,00","0,00","-0,37","0,00",,,,,,,,,,,2021,6,,,,,,
